Day,Type,Week ,Density,Replicate,Larvae,Pupae,Adults,Notes
15,AO,AO.4,0,4,39,NA,NA,NA
15,AO,AO.4,2,4,33,NA,NA,NA
15,AO,AO.4,6,4,42,NA,NA,NA
15,AO,AO.4,20,3,41,NA,NA,NA
15,AO,AO.4,50,2,43,NA,NA,NA
15,AO,AO.4,75,2,39,NA,NA,NA
15,AO,AO.4,100,2,45,NA,NA,NA
15,AO,AO.4,150,24,41,NA,NA,NA
15,AO,AO.5,0,1,47,NA,NA,NA
15,AO,AO.5,2,1,44,NA,NA,NA
15,AO,AO.5,6,4,44,NA,NA,NA
15,AO,AO.5,20,4,46,NA,NA,NA
15,AO,AO.5,50,3,40,NA,NA,NA
15,AO,AO.5,75,4,45,NA,NA,NA
15,AO,AO.5,100,2,44,NA,NA,NA
15,AO,AO.5,150,2,44,NA,NA,NA
15,AO,AO.6,0,4,50,NA,NA,NA
15,AO,AO.6,2,1,41,NA,NA,NA
15,AO,AO.6,6,2,43,NA,NA,NA
15,AO,AO.6,20,3,39,NA,NA,NA
15,AO,AO.6,50,4,41,NA,NA,NA
15,AO,AO.6,75,2,49,NA,NA,NA
15,AO,AO.6,100,1,36,NA,NA,NA
15,AO,AO.6,150,2,37,NA,NA,NA
15,AO,AO.7,0,4,33,NA,NA,NA
15,AO,AO.7,2,2,40,NA,NA,NA
15,AO,AO.7,6,2,45,NA,NA,NA
15,AO,AO.7,20,3,44,NA,NA,NA
15,AO,AO.7,50,3,41,NA,NA,NA
15,AO,AO.7,75,2,38,NA,NA,NA
15,AO,AO.7,100,3,48,NA,NA,NA
15,AO,AO.7,150,4,31,NA,NA,NA
15,OA,OA.4,0,1,38,NA,NA,NA
15,OA,OA.4,2,1,38,NA,NA,NA
15,OA,OA.4,6,2,41,NA,NA,NA
15,OA,OA.4,20,4,42,NA,NA,NA
15,OA,OA.4,50,3,40,NA,NA,NA
15,OA,OA.4,75,1,42,NA,NA,NA
15,OA,OA.4,100,2,34,NA,NA,NA
15,OA,OA.4,150,2,44,NA,NA,NA
15,OA,OA.5,0,2,41,NA,NA,NA
15,OA,OA.5,2,4,44,NA,NA,NA
15,OA,OA.5,6,1,40,NA,NA,NA
15,OA,OA.5,20,3,37,NA,NA,NA
15,OA,OA.5,50,4,47,NA,NA,NA
15,OA,OA.5,75,4,37,NA,NA,NA
15,OA,OA.5,100,3,37,NA,NA,NA
15,OA,OA.5,150,3,43,NA,NA,NA
15,OA,OA.6,0,3,43,NA,NA,NA
15,OA,OA.6,2,3,47,NA,NA,NA
15,OA,OA.6,6,3,43,NA,NA,NA
15,OA,OA.6,20,2,51,NA,NA,NA
15,OA,OA.6,50,2,48,NA,NA,NA
15,OA,OA.6,75,3,45,NA,NA,NA
15,OA,OA.6,100,2,44,NA,NA,NA
15,OA,OA.6,150,3,42,NA,NA,NA
15,OA,OA.7,0,1,38,NA,NA,NA
15,OA,OA.7,2,4,44,NA,NA,NA
15,OA,OA.7,6,3,48,NA,NA,NA
15,OA,OA.7,20,4,43,NA,NA,NA
15,OA,OA.7,50,1,43,NA,NA,NA
15,OA,OA.7,75,1,42,NA,NA,NA
15,OA,OA.7,100,4,45,NA,NA,NA
15,OA,OA.7,150,2,46,NA,NA,NA
22,AO,AO.1,0,3,13,27,NA,NA
22,AO,AO.1,2,4,3,24,NA,NA
22,AO,AO.1,6,2,43,1,NA,NA
22,AO,AO.1,20,2,35,7,NA,NA
22,AO,AO.1,50,4,41,1,NA,NA
22,AO,AO.1,75,3,39,0,NA,NA
22,AO,AO.1,100,4,41,0,NA,NA
22,AO,AO.1,150,2,42,0,NA,NA
22,AO,AO.2,0,2,38,2,NA,NA
22,AO,AO.2,2,4,36,11,NA,NA
22,AO,AO.2,6,3,33,17,NA,NA
22,AO,AO.2,20,2,31,14,NA,NA
22,AO,AO.2,50,3,7,31,NA,NA
22,AO,AO.2,75,3,15,20,NA,NA
22,AO,AO.2,100,4,38,17,NA,NA
22,AO,AO.2,150,3,25,10,NA,NA
22,AO,AO.3,0,2,26,20,NA,NA
22,AO,AO.3,2,2,28,25,NA,NA
22,AO,AO.3,6,3,13,30,NA,NA
22,AO,AO.3,20,3,31,32,NA,OVER 75
22,AO,AO.3,50,1,16,38,NA,NA
22,AO,AO.3,75,2,28,19,NA,NA
22,AO,AO.3,100,1,32,20,NA,NA
22,AO,AO.3,150,4,31,13,NA,NA
22,AO,AO.4,0,2,8,30,NA,NA
22,AO,AO.4,2,2,29,11,NA,NA
22,AO,AO.4,6,1,38,2,NA,NA
22,AO,AO.4,20,2,39,6,NA,NA
22,AO,AO.4,50,1,39,7,NA,NA
22,AO,AO.4,75,3,41,1,NA,NA
22,AO,AO.4,100,1,46,0,NA,NA
22,AO,AO.4,150,3,45,0,NA,NA
22,AO,AO.5,0,3,41,6,NA,NA
22,AO,AO.5,2,3,36,4,NA,NA
22,AO,AO.5,6,1,33,5,NA,NA
22,AO,AO.5,20,2,41,1,NA,NA
22,AO,AO.5,50,4,29,13,NA,NA
22,AO,AO.5,75,1,28,10,NA,NA
22,AO,AO.5,100,3,20,28,NA,NA
22,AO,AO.5,150,3,17,26,NA,NA
22,AO,AO.6,0,1,33,6,NA,NA
22,AO,AO.6,2,3,37,8,NA,NA
22,AO,AO.6,6,4,31,4,NA,NA
22,AO,AO.6,20,1,38,7,NA,NA
22,AO,AO.6,50,1,40,6,NA,NA
22,AO,AO.6,75,4,28,20,NA,NA
22,AO,AO.6,100,3,4,43,NA,NA
22,AO,AO.6,150,3,14,23,NA,NA
22,AO,AO.7,0,1,5,31,NA,NA
22,AO,AO.7,2,1,10,29,NA,NA
22,AO,AO.7,6,3,4,43,NA,NA
22,AO,AO.7,20,2,12,32,NA,NA
22,AO,AO.7,50,2,6,37,NA,NA
22,AO,AO.7,75,1,2,41,NA,NA
22,AO,AO.7,100,1,7,40,NA,NA
22,OA,OA.1,0,2,7,22,NA,NA
22,OA,OA.1,2,2,5,33,NA,NA
22,OA,OA.1,6,4,4,34,NA,NA
22,OA,OA.1,20,3,5,15,NA,NA
22,OA,OA.1,50,3,16,27,NA,NA
22,OA,OA.1,75,1,10,20,NA,NA
22,OA,OA.1,100,2,5,41,NA,NA
22,OA,OA.1,150,3,19,5,NA,NA
22,OA,OA.2,0,2,3,40,NA,NA
22,OA,OA.2,2,2,4,32,NA,NA
22,OA,OA.2,6,1,4,45,NA,NA
22,OA,OA.2,20,4,0,40,NA,NA
22,OA,OA.2,50,2,1,40,NA,NA
22,OA,OA.2,75,2,1,43,NA,NA
22,OA,OA.2,100,4,1,22,NA,NA
22,OA,OA.2,150,1,0,35,NA,NA
22,OA,OA.3,0,1,10,24,NA,NA
22,OA,OA.3,2,4,9,33,NA,NA
22,OA,OA.3,6,1,5,38,NA,NA
22,OA,OA.3,20,4,1,31,NA,NA
22,OA,OA.3,50,2,2,40,NA,NA
22,OA,OA.3,75,1,14,29,NA,NA
22,OA,OA.3,100,1,7,39,NA,NA
22,OA,OA.3,150,2,1,46,NA,NA
22,OA,OA.4,0,2,9,32,NA,NA
22,OA,OA.4,2,2,30,15,NA,NA
22,OA,OA.4,6,4,13,29,NA,NA
22,OA,OA.4,20,1,19,24,NA,NA
22,OA,OA.4,50,4,8,40,NA,NA
22,OA,OA.4,75,3,14,23,NA,NA
22,OA,OA.4,100,3,3,45,NA,NA
22,OA,OA.4,150,1,5,36,NA,NA
22,OA,OA.5,0,1,18,27,NA,NA
22,OA,OA.5,2,2,6,37,NA,NA
22,OA,OA.5,6,4,13,31,NA,NA
22,OA,OA.5,20,2,9,36,NA,NA
22,OA,OA.5,50,2,2,43,NA,NA
22,OA,OA.5,75,1,6,42,NA,NA
22,OA,OA.5,100,4,3,39,NA,NA
22,OA,OA.5,150,1,0,43,NA,NA
22,OA,OA.6,0,4,4,40,NA,NA
22,OA,OA.6,2,1,5,43,NA,NA
22,OA,OA.6,6,2,6,33,NA,NA
22,OA,OA.6,20,1,6,39,NA,NA
22,OA,OA.6,50,3,2,32,NA,NA
22,OA,OA.6,75,4,13,30,NA,NA
22,OA,OA.6,100,3,1,47,NA,NA
22,OA,OA.6,150,4,2,39,NA,NA
22,OA,OA.7,0,4,4,34,NA,NA
22,OA,OA.7,2,3,4,42,NA,NA
22,OA,OA.7,6,1,17,31,NA,NA
22,OA,OA.7,20,3,6,33,NA,NA
22,OA,OA.7,50,3,2,44,NA,NA
22,OA,OA.7,75,2,3,44,NA,NA
22,OA,OA.7,100,1,4,42,NA,NA
22,OA,OA.7,150,4,0,41,NA,NA
29,AO,AO.1,0,4,0,2,34,NA
29,AO,AO.1,2,1,0,2,43,NA
29,AO,AO.1,6,4,0,34,5,NA
29,AO,AO.1,20,1,0,14,10,NA
29,AO,AO.1,50,3,0,36,4,NA
29,AO,AO.1,75,2,0,13,19,1 cast adult
29,AO,AO.1,100,1,0,5,17,NA
29,AO,AO.1,150,1,0,7,38,NA
29,AO,AO.2,0,4,0,0,40,NA
29,AO,AO.2,2,1,1,3,39,NA
29,AO,AO.2,6,1,0,3,39,NA
29,AO,AO.2,20,4,1,0,37,NA
29,AO,AO.2,50,2,0,0,42,NA
29,AO,AO.2,75,1,0,2,43,NA
29,AO,AO.2,100,1,1,1,35,NA
29,AO,AO.2,150,2,0,0,46,NA
29,AO,AO.3,0,1,0,25,18,NA
29,AO,AO.3,2,4,2,29,14,NA
29,AO,AO.3,6,4,0,15,31,1 cast adult
29,AO,AO.3,20,1,0,16,20,1 cast adult
29,AO,AO.3,50,2,0,14,30,1 cast adult
29,AO,AO.3,75,3,1,9,29,1 cast adult
29,AO,AO.3,100,2,0,26,14,1 cast adult
29,AO,AO.3,150,1,0,38,16,2 cast adults
29,AO,AO.4,0,3,0,3,36,NA
29,AO,AO.4,2,3,0,6,36,NA
29,AO,AO.4,6,3,0,23,23,NA
29,AO,AO.4,20,4,0,7,30,NA
29,AO,AO.4,50,3,0,6,37,NA
29,AO,AO.4,75,4,1,5,43,NA
29,AO,AO.4,100,4,0,6,44,NA
29,AO,AO.4,150,4,0,10,30,NA
29,AO,AO.5,0,4,0,7,37,NA
29,AO,AO.5,2,2,0,16,24,NA
29,AO,AO.5,6,3,2,98,38,WTF
29,AO,AO.5,20,1,0,30,9,NA
29,AO,AO.5,50,1,0,11,33,NA
29,AO,AO.5,75,2,0,28,16,NA
29,AO,AO.5,100,1,0,3,38,NA
29,AO,AO.5,150,4,0,9,36,NA
29,AO,AO.6,0,2,0,1,44,NA
29,AO,AO.6,2,4,0,15,155,WTF
29,AO,AO.6,6,1,0,2,46,NA
29,AO,AO.6,20,2,0,4,39,1 dead conf adult
29,AO,AO.6,50,2,0,0,43,2 cast adults
29,AO,AO.6,75,1,0,8,51,OVER 50
29,AO,AO.6,100,2,0,1,37,1 cast adult
29,AO,AO.6,150,1,1,6,34,NA
29,AO,AO.7,0,2,0,8,32,NA
29,AO,AO.7,2,3,1,12,34,NA
29,AO,AO.7,6,4,0,26,17,NA
29,AO,AO.7,20,1,0,9,27,NA
29,AO,AO.7,50,4,0,18,27,NA
29,AO,AO.7,75,4,0,30,16,NA
29,AO,AO.7,100,2,0,6,36,NA
29,AO,AO.7,150,1,0,8,32,NA
29,OA,OA.1,0,3,0,1,39,contamination
29,OA,OA.1,2,3,0,0,36,NA
29,OA,OA.1,6,3,0,1,0,WTF Happened
29,OA,OA.1,20,4,0,4,23,NA
29,OA,OA.1,50,4,0,2,37,1 conf adult
29,OA,OA.1,75,2,1,2,28,NA
29,OA,OA.1,100,3,2,2,37,NA
29,OA,OA.1,150,1,0,0,39,NA
29,OA,OA.2,0,3,0,0,30,NA
29,OA,OA.2,2,3,0,0,42,NA
29,OA,OA.2,6,3,0,0,43,NA
29,OA,OA.2,20,2,0,0,36,NA
29,OA,OA.2,50,3,0,1,35,NA
29,OA,OA.2,75,1,0,0,55,NA
29,OA,OA.2,100,2,0,0,46,NA
29,OA,OA.2,150,3,0,0,45,NA
29,OA,OA.3,0,2,0,1,40,NA
29,OA,OA.3,2,1,0,0,41,NA
29,OA,OA.3,6,2,0,0,50,NA
29,OA,OA.3,20,3,0,1,43,NA
29,OA,OA.3,50,3,0,0,38,NA
29,OA,OA.3,75,3,0,1,42,NA
29,OA,OA.3,100,3,0,0,45,NA
29,OA,OA.3,150,1,0,0,46,NA
29,OA,OA.4,0,4,0,14,34,NA
29,OA,OA.4,2,3,0,7,36,NA
29,OA,OA.4,6,3,0,4,42,NA
29,OA,OA.4,20,3,1,1,39,1 conf adult
29,OA,OA.4,50,1,0,0,37,NA
29,OA,OA.4,75,4,0,1,49,NA
29,OA,OA.4,100,4,1,1,42,NA
29,OA,OA.4,150,3,0,0,42,1 conf adult
29,OA,OA.5,0,3,0,9,33,NA
29,OA,OA.5,2,3,0,2,43,NA
29,OA,OA.5,6,3,0,2,42,NA
29,OA,OA.5,20,1,0,4,41,NA
29,OA,OA.5,50,1,0,0,41,NA
29,OA,OA.5,75,2,0,2,40,NA
29,OA,OA.5,100,2,0,5,36,NA
29,OA,OA.5,150,4,0,1,45,NA
29,OA,OA.6,0,1,0,1,38,2 dead
29,OA,OA.6,2,4,0,0,45,NA
29,OA,OA.6,6,1,0,2,33,NA
29,OA,OA.6,20,4,0,2,33,NA
29,OA,OA.6,50,1,0,0,49,NA
29,OA,OA.6,75,1,0,1,43,NA
29,OA,OA.6,100,1,0,2,47,NA
29,OA,OA.6,150,2,0,0,39,NA
29,OA,OA.7,0,3,1,1,39,NA
29,OA,OA.7,2,1,0,0,38,NA
29,OA,OA.7,6,2,0,0,41,NA
29,OA,OA.7,20,1,0,0,43,NA
29,OA,OA.7,50,4,0,0,43,NA
29,OA,OA.7,75,4,0,0,41,NA
29,OA,OA.7,100,2,0,1,41,NA
29,OA,OA.7,150,3,0,0,49,NA
36,AO,AO.1,0,2,0,0,15,NA
36,AO,AO.1,2,3,0,0,46,NA
36,AO,AO.1,6,3,0,0,45,NA
36,AO,AO.1,20,4,0,0,36,NA
36,AO,AO.1,50,1,0,0,42,NA
36,AO,AO.1,75,4,0,0,26,3 cast adults
36,AO,AO.1,100,3,0,0,42,1 cast adult
36,AO,AO.1,150,4,0,0,50,NA
36,AO,AO.2,0,1,0,0,36,NA
36,AO,AO.2,2,3,0,0,46,NA
36,AO,AO.2,6,4,0,0,38,2 cast adults
36,AO,AO.2,20,3,0,0,37,NA
36,AO,AO.2,50,4,0,0,42,NA
36,AO,AO.2,75,4,0,0,42,NA
36,AO,AO.2,100,3,0,0,37,NA
36,AO,AO.2,150,4,0,0,41,NA
36,AO,AO.3,0,4,0,0,42,NA
36,AO,AO.3,2,1,0,0,48,NA
36,AO,AO.3,6,1,0,0,47,NA
36,AO,AO.3,20,4,0,0,45,1 cast adult
36,AO,AO.3,50,4,0,0,44,3 cast adults
36,AO,AO.3,75,1,0,0,51,*
36,AO,AO.3,100,3,0,0,46,NA
36,AO,AO.3,150,2,0,0,44,NA
36,AO,AO.4,0,1,0,0,45,NA
36,AO,AO.4,2,1,0,0,34,NA
36,AO,AO.4,6,2,0,0,46,NA
36,AO,AO.4,20,1,0,0,41,1 cast adult
36,AO,AO.4,50,4,0,0,41,NA
36,AO,AO.4,75,1,0,0,40,NA
36,AO,AO.4,100,3,0,0,40,NA
36,AO,AO.4,150,1,0,0,43,NA
36,AO,AO.5,0,2,0,0,47,3 under developed
36,AO,AO.5,2,4,1,1,37,NA
36,AO,AO.5,6,2,0,0,47,NA
36,AO,AO.5,20,3,0,0,35,NA
36,AO,AO.5,50,2,0,1,41,NA
36,AO,AO.5,75,3,0,0,38,NA
36,AO,AO.5,100,4,0,0,42,NA
36,AO,AO.5,150,1,0,0,39,NA
36,AO,AO.6,0,3,0,0,47,NA
36,AO,AO.6,2,2,0,0,38,NA
36,AO,AO.6,6,3,0,0,47,NA
36,AO,AO.6,20,4,0,0,45,NA
36,AO,AO.6,50,3,0,0,40,NA
36,AO,AO.6,75,3,0,0,44,NA
36,AO,AO.6,100,4,0,0,47,NA
36,AO,AO.6,150,4,0,0,41,NA
36,AO,AO.7,0,3,0,0,45,NA
36,AO,AO.7,2,4,0,0,35,NA
36,AO,AO.7,6,1,0,0,36,NA
36,AO,AO.7,20,4,0,0,97,NA
36,AO,AO.7,50,1,0,0,47,NA
36,AO,AO.7,75,3,0,0,47,NA
36,AO,AO.7,100,4,0,0,39,1 cast adult
36,AO,AO.7,150,2,0,0,45,NA
36,OA,OA.1,0,4,0,0,23,4 conf adults
36,OA,OA.1,2,1,0,0,40,NA
36,OA,OA.1,6,2,0,0,47,NA
36,OA,OA.1,20,2,0,0,43,NA
36,OA,OA.1,50,2,0,0,46,NA
36,OA,OA.1,75,3,0,0,44,NA
36,OA,OA.1,100,4,0,0,43,NA
36,OA,OA.1,150,4,0,0,22,NA
36,OA,OA.2,0,4,0,0,29,NA
36,OA,OA.2,2,4,0,0,44,NA
36,OA,OA.2,6,2,0,0,38,NA
36,OA,OA.2,20,1,0,0,36,NA
36,OA,OA.2,50,1,0,0,40,NA
36,OA,OA.2,75,3,0,0,48,NA
36,OA,OA.2,100,1,0,0,43,NA
36,OA,OA.2,150,2,0,0,41,NA
36,OA,OA.3,0,4,0,0,42,NA
36,OA,OA.3,2,3,0,0,43,NA
36,OA,OA.3,6,3,0,0,39,NA
36,OA,OA.3,20,1,0,0,42,NA
36,OA,OA.3,50,4,0,0,45,NA
36,OA,OA.3,75,4,0,0,45,NA
36,OA,OA.3,100,4,0,0,44,NA
36,OA,OA.3,150,4,0,0,39,1 conf adult
36,OA,OA.4,0,3,0,0,37,NA
36,OA,OA.4,2,4,0,0,42,NA
36,OA,OA.4,6,1,0,0,44,NA
36,OA,OA.4,20,2,0,0,38,NA
36,OA,OA.4,50,2,0,0,NA,NA
36,OA,OA.4,75,2,0,0,44,NA
36,OA,OA.4,100,1,0,0,44,NA
36,OA,OA.4,150,4,0,0,43,NA
36,OA,OA.5,0,4,0,0,43,NA
36,OA,OA.5,2,1,0,0,41,NA
36,OA,OA.5,6,2,0,0,47,NA
36,OA,OA.5,20,4,0,0,35,NA
36,OA,OA.5,50,3,0,0,42,1 conf adult
36,OA,OA.5,75,3,2,0,34,1 conf adult
36,OA,OA.5,100,1,0,0,41,NA
36,OA,OA.5,150,2,1,0,47,NA
36,OA,OA.6,0,2,0,0,34,NA
36,OA,OA.6,2,2,0,0,47,NA
36,OA,OA.6,6,4,0,0,40,2 conf adults
36,OA,OA.6,20,3,0,0,37,NA
36,OA,OA.6,50,4,0,0,48,NA
36,OA,OA.6,75,2,0,0,43,NA
36,OA,OA.6,100,4,0,0,40,NA
36,OA,OA.6,150,1,0,0,38,NA
36,OA,OA.7,0,2,0,0,42,NA
36,OA,OA.7,2,2,0,0,33,NA
36,OA,OA.7,6,4,0,0,39,NA
36,OA,OA.7,20,2,0,0,42,NA
36,OA,OA.7,50,2,0,0,46,NA
36,OA,OA.7,75,3,0,0,40,NA
36,OA,OA.7,100,3,0,0,46,NA
36,OA,OA.7,150,1,0,0,44,NA
